date,discharge_stl,gage_stl,discharge_keokuk,discharge_grafton,discharge_thebes,T2M,PS,WS2M,RH2M,T2M_MAX,PRECTOT
1981-01-01,75300.0,5.53,34000.0,502.0,77900.0,0.39,100.22,3.53,81.5,4.89,0.08
1981-01-02,76700.0,5.53,32000.0,494.0,78400.0,-0.71,100.5,2.18,68.67,6.01,0.0
1981-01-03,76900.0,5.53,33700.0,491.0,80200.0,-3.15,100.3,3.8,57.55,0.66,0.0
1981-01-04,75100.0,5.53,34200.0,492.0,80700.0,-9.82,101.53,2.66,46.45,-5.75,0.0
1981-01-05,66500.0,5.53,30400.0,494.0,80400.0,-6.85,101.08,2.87,57.51,-1.93,0.05
1981-01-06,68500.0,5.53,29500.0,494.0,76600.0,-0.43,99.6,3.68,76.9,3.45,0.53
1981-01-07,71200.0,5.53,30600.0,495.0,71400.0,-7.35,100.32,2.8,56.93,-3.67,0.0
1981-01-08,69500.0,5.53,32800.0,491.0,72100.0,-4.82,100.22,1.6,72.01,1.1,0.01
1981-01-09,72400.0,5.53,32600.0,494.0,73100.0,-5.9,100.8,1.94,79.46,-0.82,0.0
1981-01-10,71900.0,5.53,32500.0,458.0,73300.0,-8.95,101.64,1.16,70.67,-4.06,0.0
1981-01-11,71400.0,5.53,30400.0,500.0,74500.0,-8.73,101.66,2.77,64.31,-4.69,0.02
1981-01-12,71700.0,5.53,31000.0,524.0,73900.0,-7.33,100.81,2.45,67.38,0.52,0.04
1981-01-13,69100.0,5.53,30500.0,455.0,74000.0,-2.5,99.34,2.16,81.91,3.83,0.0
1981-01-14,65200.0,5.53,30200.0,501.0,73300.0,-2.29,99.53,2.33,83.89,4.52,0.0
1981-01-15,62700.0,5.53,28600.0,491.0,70500.0,-1.64,100.25,2.65,72.2,4.18,0.0
1981-01-16,63100.0,5.53,28300.0,497.0,67200.0,-7.86,101.33,3.44,67.33,-2.47,0.0
1981-01-17,62200.0,5.53,27500.0,513.0,65700.0,-7.49,101.61,2.89,69.8,-0.31,0.0
1981-01-18,61900.0,5.53,27300.0,502.0,65100.0,-0.9,100.89,3.32,66.15,7.77,0.0
1981-01-19,62600.0,5.53,27300.0,470.0,64600.0,2.52,100.05,1.96,70.82,9.86,0.07
1981-01-20,65400.0,5.53,28000.0,476.0,64800.0,0.62,99.7,0.91,94.82,2.42,8.11
1981-01-21,65800.0,5.53,27500.0,486.0,66100.0,0.71,100.17,1.9,90.36,6.73,0.18
1981-01-22,65900.0,5.53,27900.0,485.0,68000.0,0.65,100.09,2.24,81.44,8.66,0.0
1981-01-23,66400.0,5.53,30700.0,485.0,68300.0,2.32,99.65,1.79,72.28,10.47,0.0
1981-01-24,68200.0,5.53,30400.0,491.0,67700.0,4.02,99.26,2.17,76.96,13.95,0.0
1981-01-25,73900.0,5.53,30400.0,494.0,67300.0,6.68,98.62,3.79,84.48,13.55,0.0
1981-01-26,72500.0,5.53,30700.0,492.0,69700.0,4.15,99.17,2.8,74.51,9.51,0.0
1981-01-27,71800.0,5.53,31500.0,488.0,72300.0,1.54,99.47,2.1,72.97,8.99,0.0
1981-01-28,73600.0,5.53,32500.0,488.0,72200.0,-0.17,99.91,1.92,72.47,7.67,0.0
1981-01-29,73800.0,5.53,32200.0,482.0,71700.0,-2.82,100.75,3.23,62.96,-0.02,0.74
1981-01-30,71800.0,5.53,31800.0,479.0,73300.0,-2.24,101.36,3.12,63.69,2.45,0.69
1981-01-31,67200.0,5.53,29300.0,474.0,74100.0,-0.4,100.18,4.39,76.31,5.1,2.19
1981-02-01,69200.0,5.53,30100.0,497.0,73900.0,-0.71,98.91,4.31,81.22,1.78,11.75
1981-02-02,72800.0,5.53,27100.0,504.0,71000.0,-10.28,100.38,6.23,55.04,-7.22,0.01
1981-02-03,55100.0,5.53,24300.0,512.0,73500.0,-8.43,100.92,3.11,60.37,-2.28,0.0
1981-02-04,60600.0,5.53,25900.0,587.0,70200.0,-9.05,101.13,2.87,66.94,-3.84,0.0
1981-02-05,61700.0,5.53,27800.0,586.0,62200.0,-6.88,100.83,2.62,73.55,-0.99,0.02
1981-02-06,61900.0,5.53,28000.0,544.0,63600.0,-1.47,100.34,2.21,76.57,3.47,0.0
1981-02-07,65600.0,5.53,25200.0,565.0,65200.0,0.68,99.57,2.92,74.5,6.06,0.0
1981-02-08,65600.0,5.53,26000.0,550.0,67100.0,-5.29,99.99,3.52,49.16,-2.05,0.15
1981-02-09,59200.0,5.53,25000.0,540.0,69600.0,-1.64,99.86,2.32,69.68,6.42,6.45
1981-02-10,55400.0,5.53,26500.0,562.0,70000.0,-3.15,98.57,4.46,93.33,0.68,21.01
1981-02-11,55800.0,5.53,25400.0,497.0,69000.0,-17.5,101.14,4.94,81.64,-12.92,1.15
1981-02-12,51800.0,5.53,25400.0,622.0,62900.0,-14.13,102.31,2.89,88.51,-5.66,0.0
1981-02-13,53900.0,5.53,24900.0,582.0,59400.0,-7.34,102.3,1.87,79.38,0.26,0.02
1981-02-14,57000.0,5.53,24200.0,637.0,58100.0,-3.53,101.89,1.61,78.4,3.91,0.04
1981-02-15,58500.0,5.53,25000.0,716.0,60800.0,1.68,101.0,2.45,90.23,10.72,0.0
1981-02-16,59800.0,5.53,24100.0,828.0,64300.0,7.04,100.46,2.21,88.09,14.85,0.19
1981-02-17,63600.0,5.53,27400.0,873.0,67800.0,8.65,100.25,2.12,90.58,17.82,0.03
1981-02-18,70100.0,5.53,30300.0,940.0,70900.0,11.1,99.9,1.93,85.44,19.21,0.01
1981-02-19,74700.0,5.53,43500.0,962.0,73500.0,9.81,99.48,3.05,68.21,19.11,0.01
1981-02-20,83900.0,5.53,55600.0,1180.0,76400.0,6.8,99.6,1.69,71.62,17.02,0.0
1981-02-21,108000.0,5.53,55600.0,1230.0,81500.0,8.86,99.21,3.49,81.6,15.27,5.86
1981-02-22,115000.0,5.53,55300.0,1130.0,95000.0,8.01,98.23,5.0,81.41,11.93,7.96
1981-02-23,120000.0,5.53,68700.0,1040.0,111000.0,3.62,98.49,4.91,66.24,8.31,0.77
1981-02-24,133000.0,5.53,96300.0,960.0,119000.0,5.72,99.6,2.16,64.29,15.92,0.0
1981-02-25,173000.0,5.53,114000.0,908.0,125000.0,10.26,99.7,1.6,72.8,22.64,0.0
1981-02-26,191000.0,5.53,116000.0,869.0,154000.0,8.74,100.21,2.95,72.28,17.75,0.0
1981-02-27,201000.0,5.53,106000.0,829.0,191000.0,13.87,99.76,3.89,74.33,23.42,1.68
1981-02-28,201000.0,5.53,96100.0,799.0,210000.0,7.91,99.8,2.87,74.79,13.82,1.58
1981-03-01,184000.0,5.53,98200.0,769.0,214000.0,3.89,99.91,2.1,71.85,11.14,0.0
1981-03-02,172000.0,5.53,103000.0,745.0,200000.0,3.25,99.99,2.8,64.45,10.27,0.16
1981-03-03,168000.0,5.53,104000.0,719.0,183000.0,1.42,99.92,1.82,64.35,7.23,2.87
1981-03-04,169000.0,5.53,101000.0,727.0,171000.0,2.44,98.62,2.64,92.44,6.33,16.91
1981-03-05,174000.0,5.53,89000.0,769.0,172000.0,1.97,99.18,3.42,74.49,8.01,0.61
1981-03-06,169000.0,5.53,83500.0,895.0,178000.0,1.48,99.95,2.92,67.91,10.05,0.0
1981-03-07,153000.0,5.53,77100.0,1170.0,179000.0,-0.91,100.74,1.85,65.26,6.6,0.0
1981-03-08,148000.0,5.53,69300.0,2380.0,167000.0,0.95,101.09,1.3,63.31,8.2,0.0
1981-03-09,138000.0,5.53,62000.0,1690.0,155000.0,3.78,100.93,1.39,60.13,11.65,0.0
1981-03-10,126000.0,5.53,56600.0,1260.0,147000.0,4.37,100.63,2.18,70.1,12.55,0.0
1981-03-11,120000.0,5.53,47700.0,1080.0,137000.0,3.16,100.66,2.85,64.89,10.34,0.0
1981-03-12,110000.0,5.53,46300.0,964.0,127000.0,7.28,99.98,2.98,58.96,17.7,0.0
1981-03-13,105000.0,5.53,44500.0,876.0,121000.0,7.72,99.73,2.92,62.87,15.7,0.0
1981-03-14,100000.0,5.53,48500.0,810.0,114000.0,4.51,100.24,1.19,62.91,12.99,0.0
1981-03-15,96700.0,5.53,55700.0,766.0,108000.0,6.57,99.06,3.0,78.76,11.48,2.85
1981-03-16,98500.0,5.53,52800.0,744.0,104000.0,3.56,99.78,3.24,57.5,9.82,0.0
1981-03-17,99300.0,5.53,52000.0,716.0,102000.0,7.97,98.54,3.39,62.37,19.1,0.14
1981-03-18,100000.0,5.53,54200.0,695.0,102000.0,1.58,98.86,4.4,54.98,7.47,0.19
1981-03-19,101000.0,5.53,52000.0,670.0,103000.0,0.91,99.22,4.11,61.91,5.59,0.0
1981-03-20,97200.0,5.53,52700.0,648.0,104000.0,4.02,99.33,2.54,60.79,11.62,0.0
1981-03-21,93800.0,5.53,53100.0,633.0,103000.0,6.85,99.3,2.81,73.18,13.06,1.84
1981-03-22,93700.0,5.53,48600.0,631.0,101000.0,6.08,99.78,3.15,69.33,11.95,0.41
1981-03-23,94800.0,5.53,43300.0,628.0,98300.0,5.33,100.32,2.32,65.33,14.54,0.0
1981-03-24,86400.0,5.53,39500.0,619.0,98200.0,9.83,100.4,0.94,48.63,17.2,0.15
1981-03-25,77900.0,5.53,39100.0,613.0,96700.0,8.27,100.39,1.67,69.76,15.16,0.22
1981-03-26,74800.0,5.53,39800.0,608.0,90200.0,12.37,99.95,2.49,72.51,20.93,0.0
1981-03-27,76400.0,5.53,43300.0,608.0,83500.0,15.21,100.25,2.11,72.14,21.63,0.0
1981-03-28,79400.0,5.53,44000.0,669.0,80900.0,16.83,99.91,4.4,66.88,23.32,0.0
1981-03-29,89200.0,5.53,40300.0,1580.0,82800.0,16.37,98.68,4.73,82.41,20.73,15.51
1981-03-30,94500.0,5.53,36200.0,4670.0,86800.0,13.76,98.63,3.13,67.66,21.08,0.0
1981-03-31,98500.0,5.53,35400.0,5350.0,95100.0,17.65,99.04,4.03,61.59,27.72,0.0
1981-04-01,94800.0,5.53,36600.0,5730.0,101000.0,13.31,99.82,3.71,48.26,20.96,0.0
1981-04-02,89700.0,5.53,42000.0,4020.0,103000.0,16.39,99.83,3.09,52.73,26.22,0.01
1981-04-03,86200.0,5.53,46600.0,2840.0,101000.0,19.01,98.65,5.27,73.38,24.33,3.96
1981-04-04,101000.0,5.53,52000.0,2290.0,96300.0,16.76,98.7,5.06,58.59,22.07,5.12
1981-04-05,115000.0,5.53,59700.0,1930.0,95500.0,8.75,100.25,3.01,56.87,15.64,0.06
1981-04-06,116000.0,5.53,60700.0,1740.0,106000.0,8.97,100.78,1.7,54.62,16.92,0.0
1981-04-07,121000.0,5.53,77400.0,1600.0,112000.0,14.22,99.85,4.59,60.66,22.73,0.26
1981-04-08,131000.0,5.53,79100.0,1460.0,116000.0,18.07,99.33,4.52,74.45,24.08,2.03
1981-04-09,147000.0,5.53,87600.0,1370.0,121000.0,14.76,100.28,1.92,62.47,21.8,1.61
1981-04-10,144000.0,5.53,97900.0,1240.0,132000.0,20.47,100.03,3.44,71.03,28.36,3.24
